Fon Kodu,Değerleme Tarihi,Birim Pay Fiyatı,Para Birimi,Toplam Fon Değeri,Pay Adedi,Günlük Getiri (%),Yilbasindan %,Son 1 Aylık Getiri (%),Son 3 Aylık Getiri (%),Son 6 Aylık Getiri (%),Son 1 Yıllık Getiri (%)
ABW,17.09.2026,"1,246863",TL,"180.795.074,25 TL",145.000.000,0.0805,23.9207,2.4854,8.1063,16.9356,NULL
AHH,17.09.2026,"11,203657",TL,"239.428.994,51 TL",21.370.610,0.0117,31.6105,3.2997,10.4363,22.0307,47.4889
AHV,17.09.2026,"21,967651",TL,"136.031.952,43 TL",6.192.376,0.8814,29.5368,2.0312,6.2901,16.1789,43.5687
AHZ,17.09.2026,"31,925198",TL,"100.973.653,18 TL",3.162.820,0.8283,37.2707,2.3488,12.4077,23.6812,50.6074
AII,17.09.2026,"97,377701",TL,"383.862.896,51 TL",3.942.000,-0.1137,14.8243,1.1424,5.6787,12.407,22.292
AIR,17.09.2026,"167,078072",TL,"1.491.074.219,92 TL",8.924.416,-0.0446,15.3925,0.9419,5.4051,12.7824,22.95
ATJ,17.09.2026,"22,049279",TL,"998.709.568,35 TL",45.294.433,3.2285,15.6773,-2.3151,-3.4173,3.6655,29.4765
AY6,17.09.2026,"1,395625",TL,"109.224.685,38 TL",78.262.194,2.0264,24.7778,1.5032,2.6192,13.4467,34.3814
AY7,17.09.2026,"1,728567",TL,"326.878.120,43 TL",189.103.512,0.9337,35.4911,4.4356,9.5233,22.7551,56.6367
AZJ,17.09.2026,"21,617661",TL,"2.053.413.142,06 TL",94.987.758,0.1358,38.7233,3.552,11.8754,23.948,57.9343
AZV,17.09.2026,"27,643870",TL,"4.632.222.865,84 TL",167.567.815,-0.0255,18.0012,1.4128,6.5831,14.6488,27.98
BAO,17.09.2026,"2,736340",TL,"64.296.824,03 TL",23.497.385,0.3401,-0.029,-8.8442,-16.7427,-17.8462,1.3151
BFT,17.09.2026,"1,162215",TL,"196.706.879,18 TL",169.251.714,7.3144,2.9592,3.5349,-5.8453,-2.5797,14.5912
